date, value
1-Dec-1976,1.8926
2-Dec-1976,1.9038
3-Dec-1976,1.9338
6-Dec-1976,1.96
7-Dec-1976,1.93
8-Dec-1976,1.96
9-Dec-1976,1.9856
10-Dec-1976,1.995
13-Dec-1976,2.025
14-Dec-1976,2.0545
15-Dec-1976,2.0419
16-Dec-1976,2.0719
17-Dec-1976,2.1019
20-Dec-1976,2.1295
21-Dec-1976,2.1595
22-Dec-1976,2.1895
23-Dec-1976,2.1953
27-Dec-1976,2.214
28-Dec-1976,2.16
29-Dec-1976,2.1798
30-Dec-1976,2.2445
3-Jan-1977,2.2856
4-Jan-1977,2.2804
5-Jan-1977,2.2268
6-Jan-1977,2.2006
7-Jan-1977,2.1144
10-Jan-1977,1.9752
11-Jan-1977,2.1445
12-Jan-1977,2.2267
13-Jan-1977,2.2142
14-Jan-1977,2.2377
17-Jan-1977,2.1925
18-Jan-1977,2.1591
19-Jan-1977,2.1232
20-Jan-1977,2.199
21-Jan-1977,2.1975
24-Jan-1977,2.1488
25-Jan-1977,2.1806
26-Jan-1977,2.2185
27-Jan-1977,2.225
28-Jan-1977,2.2018
31-Jan-1977,2.2293
1-Feb-1977,2.2108
2-Feb-1977,2.2375
3-Feb-1977,2.251
4-Feb-1977,2.2764
7-Feb-1977,2.359
8-Feb-1977,2.2969
9-Feb-1977,2.3525
10-Feb-1977,2.357
11-Feb-1977,2.3728
14-Feb-1977,2.41
15-Feb-1977,2.4392
16-Feb-1977,2.4147
17-Feb-1977,2.4645
18-Feb-1977,2.519
22-Feb-1977,2.4959
23-Feb-1977,2.5555
24-Feb-1977,2.668
25-Feb-1977,2.6969
28-Feb-1977,2.7098
1-Mar-1977,2.7149
2-Mar-1977,2.7549
3-Mar-1977,2.7949
4-Mar-1977,2.8349
7-Mar-1977,2.8749
8-Mar-1977,2.9149
9-Mar-1977,2.9505
10-Mar-1977,2.9105
11-Mar-1977,2.9001
14-Mar-1977,2.9401
15-Mar-1977,2.9801
16-Mar-1977,3.0201
17-Mar-1977,3.0601
18-Mar-1977,3.1001
21-Mar-1977,3.1401
22-Mar-1977,3.1801
23-Mar-1977,3.2026
24-Mar-1977,3.1426
25-Mar-1977,3.19
28-Mar-1977,3.1019
29-Mar-1977,3.1869
30-Mar-1977,3.085
31-Mar-1977,3.0875
1-Apr-1977,3.1344
4-Apr-1977,3.0748
5-Apr-1977,3.1357
6-Apr-1977,3.17
7-Apr-1977,3.2275
11-Apr-1977,3.2697
12-Apr-1977,3.3363
13-Apr-1977,3.2988
14-Apr-1977,3.3563
15-Apr-1977,3.345
18-Apr-1977,3.2553
19-Apr-1977,3.1855
20-Apr-1977,3.13
21-Apr-1977,3.09
22-Apr-1977,3.1875
25-Apr-1977,3.15
26-Apr-1977,3.0629
27-Apr-1977,3.0147
28-Apr-1977,3.0798
29-Apr-1977,3.0099
2-May-1977,2.9599
3-May-1977,2.8999
4-May-1977,2.955
5-May-1977,2.895
6-May-1977,2.835
9-May-1977,2.775
10-May-1977,2.7163
11-May-1977,2.7763
12-May-1977,2.7599
13-May-1977,2.7123
16-May-1977,2.7723
17-May-1977,2.8323
18-May-1977,2.8923
19-May-1977,2.9523
20-May-1977,3.0123
23-May-1977,3.0723
24-May-1977,3.0335
25-May-1977,2.88
26-May-1977,2.9095
27-May-1977,2.845
31-May-1977,2.7312
1-Jun-1977,2.665
2-Jun-1977,2.635
3-Jun-1977,2.63
6-Jun-1977,2.7783
7-Jun-1977,2.7666
8-Jun-1977,2.76
9-Jun-1977,2.7033
10-Jun-1977,2.6264
13-Jun-1977,2.54
14-Jun-1977,2.503
15-Jun-1977,2.3728
16-Jun-1977,2.2443
17-Jun-1977,2.55
20-Jun-1977,2.6829
21-Jun-1977,2.6896
22-Jun-1977,2.91
23-Jun-1977,2.8113
24-Jun-1977,2.73
27-Jun-1977,2.6718
28-Jun-1977,2.5868
29-Jun-1977,2.4675
30-Jun-1977,2.4614
1-Jul-1977,2.3339
5-Jul-1977,2.3939
6-Jul-1977,2.3975
7-Jul-1977,2.3375
8-Jul-1977,2.3927
11-Jul-1977,2.3852
12-Jul-1977,2.3295
13-Jul-1977,2.3395
15-Jul-1977,2.3833
18-Jul-1977,2.3233
19-Jul-1977,2.2633
20-Jul-1977,2.2033
21-Jul-1977,2.1433
22-Jul-1977,2.0833
25-Jul-1977,2.0233
26-Jul-1977,1.8919
27-Jul-1977,1.92
28-Jul-1977,2.07
29-Jul-1977,2.22
1-Aug-1977,2.0892
2-Aug-1977,2.0838
3-Aug-1977,2.1
4-Aug-1977,2
5-Aug-1977,1.885
8-Aug-1977,1.87
9-Aug-1977,2.0388
10-Aug-1977,2.0511
11-Aug-1977,1.996
12-Aug-1977,2.0472
15-Aug-1977,2.062
16-Aug-1977,2.1008
17-Aug-1977,2.0426
18-Aug-1977,2.0225
19-Aug-1977,2.04
22-Aug-1977,2.0554
23-Aug-1977,2.0313
24-Aug-1977,2.1025
25-Aug-1977,2.054
26-Aug-1977,1.9781
29-Aug-1977,1.883
30-Aug-1977,1.8959
31-Aug-1977,1.836
1-Sep-1977,1.8325
2-Sep-1977,1.8381
6-Sep-1977,1.8
7-Sep-1977,1.76
8-Sep-1977,1.7638
9-Sep-1977,1.78
12-Sep-1977,1.82
13-Sep-1977,1.8
14-Sep-1977,1.8396
15-Sep-1977,1.8355
16-Sep-1977,1.8327
19-Sep-1977,1.8727
20-Sep-1977,1.8606
21-Sep-1977,1.8206
22-Sep-1977,1.7806
23-Sep-1977,1.7206
26-Sep-1977,1.645
27-Sep-1977,1.675
28-Sep-1977,1.7097
29-Sep-1977,1.6568
30-Sep-1977,1.655
3-Oct-1977,1.6675
4-Oct-1977,1.5897
5-Oct-1977,1.5582
6-Oct-1977,1.6003
7-Oct-1977,1.6127
11-Oct-1977,1.6456
12-Oct-1977,1.627
13-Oct-1977,1.6088
14-Oct-1977,1.565
17-Oct-1977,1.6075
18-Oct-1977,1.5754
19-Oct-1977,1.5782
20-Oct-1977,1.5
21-Oct-1977,1.4906
24-Oct-1977,1.54
25-Oct-1977,1.615
26-Oct-1977,1.605
27-Oct-1977,1.66
28-Oct-1977,1.76
